强化等级	紫色1级	紫色2级	紫色3级	紫色4级	紫色5级	紫色6级	紫色7级	紫色8级	紫色9级	紫色10级	紫色11级	紫色12级	紫色13级	紫色14级	紫色15级	紫色16级
Strength	Purple1	Purple2	Purple3	Purple4	Purple5	Purple6	Purple7	Purple8	Purple9	Purple10	Purple11	Purple12	Purple13	Purple14	Purple15	Purple16
1	25	45	70	100	135	175	220	270	320	375	435	495	560	630	720	775
2	31	52	78	109	145	186	232	283	334	390	451	512	578	649	740	796
3	37	59	86	118	155	197	244	296	348	405	467	529	596	668	760	817
4	43	66	94	127	165	208	256	309	362	420	483	546	614	687	780	838
5	49	73	102	136	175	219	268	322	376	435	499	563	632	706	800	859
6	55	80	110	145	185	230	280	335	390	450	515	580	650	725	820	880
7	61	87	118	154	195	241	292	348	404	465	531	597	668	744	840	901
8	67	94	126	163	205	252	304	361	418	480	547	614	686	763	860	922
9	73	101	134	172	215	263	316	374	432	495	563	631	704	782	880	943
10	79	108	142	181	225	274	328	387	446	510	579	648	722	801	900	964
11	85	115	150	190	235	285	340	400	460	525	595	665	740	820	920	985
12	91	122	158	199	245	296	352	413	474	540	611	682	758	839	940	1006
13	97	129	166	208	255	307	364	426	488	555	627	699	776	858	960	1027
14	103	136	174	217	265	318	376	439	502	570	643	716	794	877	980	1048
15	109	143	182	226	275	329	388	452	516	585	659	733	812	896	1000	1069
16	115	150	190	235	285	340	400	465	530	600	675	750	830	915	1020	1090
17	121	157	198	244	295	351	412	478	544	615	691	767	848	934	1040	1111
18	127	164	206	253	305	362	424	491	558	630	707	784	866	953	1060	1132
19	133	171	214	262	315	373	436	504	572	645	723	801	884	972	1080	1153
20	139	178	222	271	325	384	448	517	586	660	739	818	902	991	1100	1174
21	145	185	230	280	335	395	460	530	600	675	755	835	920	1010	1120	1195
22	151	192	238	289	345	406	472	543	614	690	771	852	938	1029	1140	1216
23	157	199	246	298	355	417	484	556	628	705	787	869	956	1048	1160	1237
