编号	城市名称	城市描述	卡片1	卡片1奖励	卡片2	卡片2奖励	卡片3	卡片3奖励	卡片4	卡片4奖励	卡片5	卡片5奖励	卡片6	卡片6奖励	卡片7	卡片7奖励	卡片8	卡片8奖励	卡片Pass	翻牌铜钱花费	再来一次元宝花费	再来一次金币花费	达到最后一个城市额外奖励宝石
Id	Name	Desc	Card1	Gem1	Card2	Gem2	Card3	Gem3	Card4	Gem4	Card5	Gem5	Card6	Gem6	Card7	Gem7	Card8	Gem8	CardPass	GoldOpen	Cash	Gold	GemFinal
1	楼兰	盛产美女的西域国度，被刘乐乐誉为三国时期的“天上人间”，每当他被后宫欺凌的时候，都会含着眼泪思念楼兰。	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	50	3500	1	10000	
2	疏勒	三国时期西域与中原的交通枢纽，刘乐乐教会了当地人“斗地主”后，此地成为最大赌城，各路英雄豪杰身败名裂的祸根之地。	1	102:202:302:402:502	1	101:201:301:401:501	1	102:202:302:402:502	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	50	4000	3	20000	
3	匈奴	蛮荒且彪悍的骑兵帝国，一度纵横驰骋无人匹敌，正当天下霸主为之堪忧时，刘乐乐用一筐巴豆将整个匈奴帝国一夜之间覆灭！	1	103:203:303:403:503	1	102:202:302:402:502	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	50	5000	4	30000	
4	车师	一个被匈奴长期压在身下痛苦呻吟的小国，在被刘乐乐用巴豆灭掉匈奴过后，车师国终于捡起碎了一地的节操，抛弃了匈奴转身投入了大汉怀抱。	1	103:203:303:403:503	1	102:202:302:402:502	1	101:201:301:401:501	1	101:201:301:401:501	1	102:202:302:402:502	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	50	8000	5	50000	
5	于阗	作为西域老牌强国，于阗一直压力很大。因为其拥有大片的绿洲和丰富的玉石资源，因此常常成为周边各国大规模化缘的首选之地。	1	103:203:303:403:503	1	103:203:303:403:503	1	102:202:302:402:502	1	102:202:302:402:502	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	50	12000	7	70000	
6	龟兹	龟兹拥有极其丰富的石窟雕刻艺术，张焦的到来让这种艺术推到了另一个高潮，为了打造三国第一大救世主形象，并且以每人30两的月薪雇佣了一帮信徒天天膜拜。	1	103:203:303:403:503	1	103:203:303:403:503	1	103:203:303:403:503	1	103:203:303:403:503	1	102:202:302:402:502	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	50	19000	9	90000	
7	乌孙	因养马业极其发达，在吕步普及了马鞍的使用方法后，乌孙成为西域最大的军事出口大国。现旗下有“饱马”、“篮簸箕里”等著名品牌。	1	104:204:304:404:504	1	102:202:302:402:502	1	102:202:302:402:502	1	103:203:303:403:503	1	103:203:303:403:503	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	50	20000	10	120000	
8	大月氏	西域唯一可和匈奴匹敌的大国，自从匈奴覆灭后，就一直在秘密研究巴豆的种植技术，据说现任单于是曹阿瞒最好的基友。	1	104:204:304:404:504	1	103:203:303:403:503	1	102:202:302:402:502	1	102:202:302:402:502	1	102:202:302:402:502	1	101:201:301:401:501	1	101:201:301:401:501	1	101:201:301:401:501	50	25000	12	150000	
9	大宛	西域中唯一拥有震慑性军事武器汗血宝马的国家，在吕步的帮助下，建立了西域著名的马匹贩卖集团“奔田”，从而一跃成为了西域第二大军事出口国。	1	104:204:304:404:504	1	104:204:304:404:504	1	103:203:303:403:503	1	103:203:303:403:503	1	104:204:304:404:504	1	102:202:302:402:502	1	101:201:301:401:501	1	101:201:301:401:501	50	46000	15	200000	
10	康居	康居是西域交换国情及传播文化的媒介站，在朱格亮的策划下，该国创立了西域最大的门户客站“星龙门客站”，据说每日访问量已达上万人次。	1	105:205:305:405:505	1	104:204:304:404:504	1	103:203:303:403:503	1	103:203:303:403:503	1	105:205:305:405:505	1	102:202:302:402:502	1	102:202:302:402:502	1	102:202:302:402:502	50	98000	1000000	100000000	602:702:802
