编号	名称	显示颜色	级质	属性	值	是否可购买	图标	描述	出售价格	战斗力计算参数
Id	Name	Color	Quantity	Key	Value	Buyable	Url	Desc	Sell	FightForceFactor
101	1级武力石	green	1	attack	300		gem/gem501.png	通过商社贸易获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
102	2级武力石	green	2	attack	465		gem/gem502.png	通过商社贸易或合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
103	3级武力石	blue	3	attack	721	1	gem/gem503.png	通过商社贸易或合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
104	4级武力石	blue	4	attack	1118		gem/gem504.png	通过商社贸易或合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
105	5级武力石	purple	5	attack	1733		gem/gem505.png	通过商社贸易或合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
106	6级武力石	purple	6	attack	2686		gem/gem506.png	通过合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
107	7级武力石	orange	7	attack	4163		gem/gem507.png	通过合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
108	8级武力石	orange	8	attack	6017		gem/gem508.png	通过合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
109	9级武力石	orange	9	attack	8201		gem/gem509.png	通过合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
110	10级武力石	orange	10	attack	10998		gem/gem510.png	通过合成获得，可以镶嵌在武器上(36级开启宝石镶嵌)	10	0
201	1级谋略石	green	1	magic	300		gem/gem201.png	通过商社贸易获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
202	2级谋略石	green	2	magic	465		gem/gem202.png	通过商社贸易或合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
203	3级谋略石	blue	3	magic	721	1	gem/gem203.png	通过商社贸易或合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
204	4级谋略石	blue	4	magic	1118		gem/gem204.png	通过商社贸易或合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
205	5级谋略石	purple	5	magic	1733		gem/gem205.png	通过商社贸易或合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
206	6级谋略石	purple	6	magic	2686		gem/gem206.png	通过合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
207	7级谋略石	orange	7	magic	4163		gem/gem207.png	通过合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
208	8级谋略石	orange	8	magic	6017		gem/gem208.png	通过合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
209	9级谋略石	orange	9	magic	8201		gem/gem209.png	通过合成获得，可以镶嵌在武器上(35级开启宝石镶嵌)	10	0
