名称	变量名	变量值
	Key	Value
收获金币和粮食间隔	HarvestInterval	60
橙色英雄兑换将魂需求	RoleRecallSoulorange	6000
白色英雄拆魂	RoleToSoulwhite	4
蓝色英雄拆魂	RoleToSoulblue	16
紫色英雄拆魂	RoleToSoulpurple	64
橙色英雄拆魂	RoleToSoulorange	256
英雄技能最大等级	RoleSkillLevelMax	10
洗点资源需求	RoleRefineMaterial	20
让贤金币消耗	RoleTransferGold	100
让贤元宝消耗	RoleTransferCash	100
金币让贤经验获得	RoleTransferGoldXp	80
元宝让贤经验获得	RoleTransferCashXp	100
勇闯重楼免费挑战次数	ParidisDailyLimit	1
过关斩将免费挑战次数	KillRoleDailyLimit	1
金矿每次最长占领时间(小时)	MineOccupyTime	1
金矿每天抢占次数	MineDailyLimit	6
金矿最大产出系数	MineMaxOutput	2
训练馆训练冷却时间	TrainingColdTime	28800
训练馆清除冷却时间元宝花费(小时)	TrainingClearColdTime	2
英雄管理上限	RoleSeatLimit	10
擂台每日免费挑战次数	RankDailyLimit	15
擂台每日付费挑战次数	RankCashDailyLimit	1
擂台付费挑战花费	RankCash	50
擂台领取奖励时间间隔	RankRewardDayLimit	1
擂台每次挑战金币奖励	RankEachGold	5000
擂台每次挑战军功奖励	RankEachHonor	200
普通洗髓下限	RoleRefineMin	0
普通洗髓上限	RoleRefineMax	3
白金洗髓下限	SilverRoleRefineMin	1
白金洗髓上限	SilverRoleRefineMax	5
白金洗髓元宝消耗	SilverRoleRefineCash	6
至尊洗髓下限	SuperRoleRefineMin	5
至尊洗髓上限	SuperRoleRefineMax	15
至尊洗髓元宝消耗	SuperRoleRefineCash	42
幸运宝石增加成功概率	LuckyGemSuccess	10
幸运宝石ID	LuckyGemId	37
每日免费粮食	DailyFood	4000
每次付费购买粮食数量	CashFood	1000
精英副本粮食消耗	DuplicateBossFood	1000
副本每次粮食消耗	DuplicateFood	100
支线任务开启等级	OpenBranchTaskAtLevel	10
全局消息的最大数目	GlobalMessageMaxLength	18
擂台消息存储最大数量	RankMessageMaxLength	6
招贤馆元宝锁定花费	TavernCash	15
每天臣民产出次数	PersonOutPutTimes	40
每日签到的最大天数	SignDayLimit	30
补签一次每日签到的元宝花费	SignOnceCash	10
连续登陆领取奖励的最大天数	LoginDayLimit	5
地牢收获时间间隔（小时）	PrisonInterval	1
地牢抓捕免费次数	PrisonDailyLimit	10
地牢压榨元宝花费（元宝/小时）	PrisonPressCash	2
建立军团的元宝花费	CreateLeagueCash	100
军团列表每页显示数目	LeagueDisplayLimitPerPage	9
每一点活跃度增加的军团经验	LeagueXpPerActivity	1
每一点活跃度增加的军团贡献	LeagueContributePerActivity	7
弹劾帮主花费元宝	ImpeachLeagueLeaderCash	100
捐献每一元宝增加的军团贡献	LeagueContributePerCash	14
每次翻牌消耗个人的军团贡献	LeagueContributePerCard	200
军团翻牌活动每日免费次数	LeagueGameCountPerDay	10
武器镶嵌宝石类型	WeaponGemSlot	101:101:601
法器镶嵌宝石类型	MagicGemSlot	201:201:601
防具镶嵌宝石类型	ArmorGemSlot	301:401:701
饰品镶嵌宝石类型	AccessoryGemSlot	501:501:801
装备第一个宝石槽开启所需强化等级	EquipOpenGemStrength1	35
装备第二个宝石槽开启所需强化等级	EquipOpenGemStrength2	40
装备第三个宝石槽开启所需强化等级	EquipOpenGemStrength3	45
初始开放的宝石等级	DefaultOpenGemLevel	6
7级宝石开放距离开服时间（天）	GemLevelOpenDays7	2
8级宝石开放距离开服时间（天）	GemLevelOpenDays8	4
9级宝石开放距离开服时间（天）	GemLevelOpenDays9	7
10级宝石开放距离开服时间（天）	GemLevelOpenDays10	10
每日买粮食次数限制	BuyFoodLimit	5
获取合璧的半块玉每日次数	CombineGotStoneDailyLimit	1
每日合璧次数	CombineDailyLimit	2
合璧完成需要的时间秒数	CombineTimerLimit	900
商社每天返回起点次数	BusinessGobackLimit	10
分享战役元宝花费	ShareBattleCash	50
自动招将最大轮数	AutoInviteRoundLimit	99
军团战参战军团的最小等级	LeagueWarLeagueLevelMin	2
军团战参战玩家的最小等级	LeagueWarUserLevelMin	31
军团战个人基础积分	LeagueWarBaseScore	100
军团战持续时间(11小时)	LeagueWarContinueTime	39600
军团战休息时间（37小时）	LeagueWarRestTime	133200
