等级	下一级经验	出战武将数量	主城征收上限	主城产出效率(perHour)	磨坊生产上限	磨坊产出效率(perHour)	军机处训练获得经验	金矿产出系数	臣民每次产出	地牢产出	装备评分	购买金币数量	修炼打坐经验产出(perHour)	群雄争霸支持获取金币系数	决战天下支持获取金币系数
Level	Xp	RoleNum	GoldMax	GoldPerHour	FoodMax	FoodPerHour	TrainingXp	MineOutputFactor	PersonOutPut	PrisonOutPut	EquipScore	GoldBuy	OfflineXp	ServerWarSupport	BattleWorldSupport
1	12	2	88452	7371	2130	178	15	1	372	4171	1	118380	322	1	1
2	42	2	93024	7752	2185	182	38	1.028	379	4407	1	118485	322	1	1
3	91	2	97596	8133	2240	187	60	1.056	386	4643	1	118590	322	1	1
4	161	2	102168	8514	2295	191	86	1.084	393	4879	1	118695	322	1	1
5	254	2	106740	8895	2350	196	116	1.112	400	5115	1	118800	322	1	1
6	373	2	111312	9276	2405	200	150	1.14	407	5351	1	118905	322	1	1
7	519	2	115884	9657	2460	205	195	1.168	414	5587	1	119010	322	1	1
8	698	3	120456	10038	2515	210	252	1.196	421	5823	1	119115	322	1	1
9	913	3	125028	10419	2570	214	326	1.224	428	6059	1	119220	322	1	1
10	1169	3	129600	10800	2625	219	420	1.252	435	6295	1	119325	322	1	1
11	1474	3	134172	11181	2680	223	542	1.28	442	6531	2	119430	322	1	1
12	1834	3	138744	11562	2735	228	699	1.308	449	6767	2	119535	322	1	1
13	2259	3	143316	11943	2790	233	896	1.336	456	7003	2	119640	322	1	1
14	2758	3	147888	12324	2845	237	1142	1.364	463	7239	2	119745	322	1	1
15	3344	3	152460	12705	2900	242	1445	1.392	470	7475	2	119850	322	1	1
16	4029	3	157032	13086	2955	246	1817	1.42	477	7711	2	119955	322	1	1
17	4829	3	161604	13467	3010	251	2265	1.448	484	7947	2	120060	322	1	1
18	5762	3	166176	13848	3065	255	2804	1.476	491	8183	2	120165	322	1	1
19	6846	3	170748	14229	3120	260	3441	1.504	498	8419	2	120270	322	1	1
20	8103	4	175320	14610	3175	265	4193	1.532	505	8655	2	120375	322	1	1
21	9557	4	179892	14991	3230	269	5069	1.56	512	8891	3	120480	322	1	1
22	11234	4	184464	15372	3285	274	6456	1.588	519	9127	3	120585	322	1	1
23	13162	4	189036	15753	3340	278	8526	1.616	526	9363	3	120690	322	1	1
24	15374	4	193608	16134	3395	283	10176	1.644	533	9599	3	120795	322	1	1
25	17904	4	198180	16515	3450	288	11718	1.672	540	9835	3	120900	322	1	1
26	20791	4	202752	16896	3505	292	13301	1.7	547	10071	3	121005	322	1	1
27	24073	4	207324	17277	3560	297	13548	1.728	554	10307	3	121110	322	1	1
28	27798	4	211896	17658	3615	301	13797	1.756	561	10543	3	121215	322	1	1
29	32010	4	216468	18039	3670	306	14045	1.784	568	10779	3	121320	322	1	1
30	44526	4	221040	18420	3725	310	14324	1.812	575	11015	3	121425	322	1	1
31	58652	4	225612	18801	3780	315	14372	1.84	582	11251	4	121530	322	1	1
32	72487	4	230184	19182	3835	320	14420	1.868	589	11487	4	121635	322	1	1
33	89541	4	234756	19563	3890	324	14469	1.896	596	11723	4	121740	322	1	1
34	103595	4	239328	19944	3945	329	14517	1.924	603	11959	4	121845	322	1	1
35	122107	5	243900	20325	4000	333	14565	1.952	610	12195	4	121950	322	1	1
36	158739	5	256092	21341	4150	346	14615	2.049	640	12805	5	128050	322	1	1
37	206360	5	268908	22409	4300	358	14663	2.152	672	13445	5	134450	322	1	1
38	268268	5	282348	23529	4450	371	14711	2.259	706	14117	5	141150	322	1	1
39	321922	5	296460	24705	4600	383	14759	2.372	741	14823	5	148250	322	1	1
40	386306	6	311292	25941	4750	396	14808	2.491	778	15564	5	155650	322	5	5
41	463567	6	326856	27238	4900	408	14856	2.615	817	16343	6	163450	322	5	5
42	556281	6	343200	28600	5050	421	14904	2.746	858	17160	6	171600	322	5	5
43	667537	6	360360	30030	5200	433	15171	2.884	901	18018	6	180200	378	5	5
44	774343	6	378372	31531	5350	446	15219	3.028	946	18919	6	189200	391	5	5
45	898238	6	397296	33108	5500	458	15267	3.179	993	19865	6	198650	404	5	5
46	1015008	6	417156	34763	5650	471	15315	3.338	1043	20858	6	208600	408	5	5
