编号	名称	类别	显示颜色	出售价格	是否可购买	是否可使用	使用类型	使用效果	使用需求	截止时间	使用间隔(天数)	图标	描述
Id	Name	Category	Color	Sell	Buyable	CanUse	UseType	UseEffect	UseNeed	EndTime	UseInterval	Url	Desc
1	黑铁	material	green	10	1	0		0	0	0		item/item1.png	打造一阶，二阶武器所需的材料，可用军功兑换
2	松木	material	blue	50	1	0		0	0	0		item/item2.png	打造三阶，四阶武器所需的材料，可用军功兑换
3	寒铁	material	purple	100	1	0		0	0	0		item/item3.png	打造五阶，六阶武器所需的材料，可用军功兑换
4	紫檀	material	orange	200	1	0		0	0	0		item/item4.png	打造七阶武器所需的材料，可用军功兑换
5	玄铁	material	orange	400	1	0		0	0	0		item/item5.png	打造八阶武器所需的材料，可用军功兑换
6	降龙木	material	orange	800	1	0		0	0	0		item/item6.png	打造九阶武器所需的材料，可用军功兑换
7	软皮	material	green	10	1	0		0	0	0		item/item7.png	打造一阶，二阶防具所需的材料，可用军功兑换
8	麻线	material	blue	50	1	0		0	0	0		item/item8.png	打造三阶，四阶防具所需的材料，可用军功兑换
9	钨钢	material	purple	100	1	0		0	0	0		item/item9.png	打造五阶，六阶防具所需的材料，可用军功兑换
10	银丝	material	orange	200	1	0		0	0	0		item/item10.png	打造七阶防具所需的材料，可用军功兑换
11	龙鳞	material	orange	400	1	0		0	0	0		item/item11.png	打造八阶防具所需的材料，可用军功兑换
12	天蚕丝	material	orange	800	1	0		0	0	0		item/item12.png	打造九阶防具所需的材料，可用军功兑换
13	玛瑙	material	green	10	1	0		0	0	0		item/item13.png	打造一阶，二阶饰品所需的材料，可用军功兑换
14	大理石	material	blue	50	1	0		0	0	0		item/item14.png	打造三阶，四阶饰品所需的材料，可用军功兑换
15	翡翠	material	purple	100	1	0		0	0	0		item/item15.png	打造五阶，六阶饰品所需的材料，可用军功兑换
16	五彩石	material	orange	200	1	0		0	0	0		item/item16.png	打造七阶饰品所需的材料，可用军功兑换
17	凤凰珠	material	orange	400	1	0		0	0	0		item/item17.png	打造八阶饰品所需的材料，可用军功兑换
18	九天神石	material	orange	800	1	0		0	0	0		item/item18.png	打造九阶饰品所需的材料，可用军功兑换
19	技能书	other	purple	10	1	0		0	0	0		item/item19.png	武将升级技能所需物品，可用军功兑换
20	洗髓丹	other	purple	10	1	0		0	0	0		item/item20.png	提高武将基础属性，勇闯重楼、古墓宝藏可获得(39级开启洗髓功能)
21	一级培养丹	other	purple	10	1	0		0	0	0		item/item21.png	提高武将成长值所需的物品，过关斩将可获得
22	二级培养丹	other	purple	10	1	0		0	0	0		item/item22.png	提高武将成长值所需的物品，过关斩将可获得
23	三级培养丹	other	purple	10	1	0		0	0	0		item/item23.png	提高武将成长值所需的物品，过关斩将可获得
24	四级培养丹	other	purple	10	1	0		0	0	0		item/item24.png	提高武将成长值所需的物品，过关斩将可获得
25	五级培养丹	other	purple	10	1	0		0	0	0		item/item25.png	提高武将成长值所需的物品，过关斩将可获得
26	兵符	other	purple	10	1	0		0	0	0		item/item26.png	兵种转职所需物品，可用军功兑换
27	一级图纸	other	green	5000		0		0	0	0		item/item27.png	打造一阶装备所需的图纸，黄巾之乱精英副本掉落
28	二级图纸	other	green	10000		0		0	0	0		item/item28.png	打造二阶装备所需的图纸，袁绍挥师精英副本掉落
29	三级图纸	other	blue	15000		0		0	0	0		item/item29.png	打造三阶装备所需的图纸，董卓之乱精英副本掉落
30	四级图纸	other	blue	20000		0		0	0	0		item/item30.png	打造四阶装备所需的图纸，袁术称帝精英副本掉落
31	五级图纸	other	purple	25000		0		0	0	0		item/item31.png	打造五阶装备所需的图纸，东吴霸主精英副本掉落
32	六级图纸	other	purple	30000		0		0	0	0		item/item32.png	打造六阶装备所需的图纸，荆州夺主精英副本掉落
33	七级图纸	other	orange	35000		0		0	0	0		item/item33.png	打造七阶装备所需的图纸，南蛮入侵精英副本掉落
34	八级图纸	other	orange	40000		0		0	0	0		item/item34.png	打造八阶装备所需的图纸，蜀中之王精英副本掉落
35	九级图纸	other	orange	45000		0		0	0	0		item/item35.png	打造九阶装备所需的图纸，西凉铁骑精英副本掉落
37	幸运宝石	other	orange	10	1	0		0	0	0		item/item37.png	提高装备打造成功率10%的物品，可用军功兑换
38	小喇叭	other	purple	10	1	0		0	0	0		item/item38.png	用于世界频道的聊天道具，每次消耗1个
39	大喇叭	other	orange	10	1	0		0	0	0		item/item39.png	用于世界公告喊话的道具，每次消耗1个
40	王者勋章	other	orange	10000000		0		0	0	0		item/item40.png	王者象征，拥有“世界聊天”永久免费特权！
41	星辰玉	material	orange	1000	1	0		0	0	0		item/item41.png	打造十到十二阶装备所需的材料，可用军功兑换
42	十级图纸	other	orange	50000		0		0	0	0		item/item42.png	打造十阶装备所需的图纸，宛城之战精英副本掉落
43	十一级图纸	other	orange	60000		0		0	0	0		item/item43.png	打造十一阶装备所需的图纸，官渡之战精英副本掉落
44	十二级图纸	other	orange	70000		0		0	0	0		item/item44.png	打造十二阶装备所需的图纸，东吴之战精英副本掉落
45	经验丹	glory	purple	10		1	xp	0	0	0		item/item45.png	点击使用给任意武将服用可获得大量经验
46	将魂包	glory	purple	10		1	soul	1000	0	0		item/item46.png	使用获得1000将魂，可通过活动获得
47	神将碎片	glory	orange	10		0		0	0	0		item/item47.png	武将觉醒所需物品，可通过军团战、军团BOSS、或荣誉兑换获得
48	黄金令	other	purple	10	1	0		0	0	0		item/item48.png	黑市手动刷新所需物品，可通过军团BOSS、古墓宝藏、商店获得
49	天玉	other	purple	10		0		0	0	0		item/item49.png	装备洗炼所需物品，可通过古墓宝藏获得
50	秘籍残页	other	orange	10		0		0	0	0		item/item50.png	合成武将新技能的唯一道具，可通过活动获得
51	神秘礼包	other	orange	10		1	box	0	0	0		item/item51.png	疯狂擂台鲜花榜冠军奖励，有几率获得高级宝石、神将碎片
52	蛋疼礼包	other	orange	10		1	box	0	0	0		item/item52.png	疯狂擂台鸡蛋榜冠军奖励，有几率获得高级宝石、神将碎片
