怪物编号	怪物名称	等级	兵种	兵种等级	技能	技能等级	战斗力	攻击	血量	物理防御	法术防御	闪避	暴击	命中	破招	格挡	刚毅	素材	神将	一级神将素材	专属技能
Id	Name	Level	Soldier	SoldierLevel	Skill	SkillLevel	FightForce	Attack	Health	Defence	MagicDefence	Miss	Critdamage	Hit	Unblock	Block	Fortitude	URL	God	GodUrl1	SpecialSkill
1001101	裴元绍	1	1	6	1	1	36	42	52	16	16	0	0	100	0	0	0	hero/caopi.png	0		
1001102	邓茂	1	2	6	1	1	46	42	52	16	16	0	0	100	0	0	0	hero/dao.png	0		
1001103	程远志	2	3	6	1	1	53	59	74	22	22	0	0	100	0	0	0	hero/zhaoyun.png	0		
1001104	伏完	2	3	6	1	1	62	59	74	22	22	0	0	100	0	0	0	hero/jiangwei.png	0		
1001105	周仓	3	1	6	1	1	70	75	106	27	27	0	0	100	0	0	0	hero/dengai.png	0		
1001106	张白骑	3	2	6	1	1	78	75	106	27	27	0	0	100	0	0	0	hero/lingtong.png	0		
1001107	刘石	4	3	6	1	1	86	92	138	33	33	0	0	100	0	0	0	hero/qiang.png	0		
1001108	波才	4	3	6	1	1	95	92	138	33	33	0	0	100	0	0	0	hero/huaxiong.png	0		
1001109	笮融	5	1	6	1	1	103	108	174	39	39	0	0	100	0	0	0	hero/liubei.png	0		
1001110	张梁	5	4	6	1	1	112	108	174	39	39	0	0	100	0	0	0	hero/qi.png	0		
1001111	高升	6	3	6	1	1	120	126	214	45	45	0	0	100	0	0	0	hero/xunyu.png	0		
1001112	李乐	6	3	6	1	1	129	126	214	45	45	0	0	100	0	0	0	hero/zhugeliang.png	0		
1001113	赵弘	7	1	6	1	1	137	143	256	51	51	0	0	100	0	0	0	hero/zhouyu.png	0		
1001114	乐就	7	2	6	1	1	144	143	256	51	51	0	0	100	0	0	0	hero/zhugedan.png	0		
1001115	张宝	8	4	6	1	1	152	161	304	56	56	0	0	100	0	0	0	hero/luxun.png	0		
1001116	卞喜	8	3	6	1	1	161	161	304	56	56	0	0	100	0	0	0	hero/huanggai.png	0		
1001117	张燕	9	1	6	1	1	169	179	356	62	62	0	0	100	0	0	0	hero/caopi.png	0		
1001118	张牛角	9	2	6	1	1	178	179	356	62	62	0	0	100	0	0	0	hero/dao.png	0		
1001119	管亥	10	3	6	1	1	186	244	482	68	68	0	0	100	0	0	0	hero/zhaoyun.png	0		
1001120	张角	10	4	6	1	1	198	244	482	68	68	0	0	100	0	0	0	hero/zhangjiao.png	0		
1001000	黄巾骑兵	1	3	6	1	1	31	35	42	14	14	0	0	100	0	0	0	hero/dengai.png	0		
1001001	黄巾骑兵	2	3	6	1	1	42	48	62	19	19	0	0	100	0	0	0	hero/lingtong.png	0		
1001002	黄巾骑兵	3	3	6	1	1	55	63	88	23	23	0	0	100	0	0	0	hero/qiang.png	0		
1001003	黄巾骑兵	4	3	6	1	1	66	77	116	28	28	0	0	100	0	0	0	hero/huaxiong.png	0		
1001004	黄巾骑兵	5	3	6	1	1	78	90	144	33	33	0	0	100	0	0	0	hero/liubei.png	0		
1001005	黄巾骑兵	6	3	6	1	1	92	105	178	37	37	0	0	100	0	0	0	hero/qi.png	0		
1001006	黄巾骑兵	7	3	6	1	1	104	119	214	43	43	0	0	100	0	0	0	hero/xunyu.png	0		
1001007	黄巾骑兵	8	3	6	1	1	117	134	256	47	47	0	0	100	0	0	0	hero/zhugeliang.png	0		
1001008	黄巾骑兵	9	3	6	1	1	130	149	296	52	52	0	0	100	0	0	0	hero/zhouyu.png	0		
1001009	黄巾骑兵	10	3	6	1	1	165	203	402	57	57	0	0	100	0	0	0	hero/zhugedan.png	0		
1001010	黄巾步兵	1	1	6	1	1	31	28	42	17	15	0	0	100	0	0	0	hero/luxun.png	0		
1001011	黄巾步兵	2	1	6	1	1	42	39	62	24	20	0	0	100	0	0	0	hero/huanggai.png	0		
1001012	黄巾步兵	3	1	6	1	1	55	50	88	30	25	0	0	100	0	0	0	hero/caopi.png	0		
1001013	黄巾步兵	4	1	6	1	1	66	61	116	37	31	0	0	100	0	0	0	hero/dao.png	0		
1001014	黄巾步兵	5	1	6	1	1	78	72	144	43	36	0	0	100	0	0	0	hero/zhaoyun.png	0		
1001015	黄巾步兵	6	1	6	1	1	92	83	178	48	41	0	0	100	0	0	0	hero/jiangwei.png	0		
1001016	黄巾步兵	7	1	6	1	1	104	95	214	54	47	0	0	100	0	0	0	hero/dengai.png	0		
1001017	黄巾步兵	8	1	6	1	1	117	107	256	60	51	0	0	100	0	0	0	hero/lingtong.png	0		
1001018	黄巾步兵	9	1	6	1	1	130	119	296	67	57	0	0	100	0	0	0	hero/qiang.png	0		
1001019	黄巾步兵	10	1	6	1	1	165	162	402	73	62	0	0	100	0	0	0	hero/huaxiong.png	0		
1001020	黄巾枪兵	1	2	6	1	1	31	38	42	12	12	0	0	100	0	0	0	hero/liubei.png	0		
1001021	黄巾枪兵	2	2	6	1	1	42	54	62	16	16	0	0	100	0	0	0	hero/qi.png	0		
1001022	黄巾枪兵	3	2	6	1	1	55	69	88	21	21	0	0	100	0	0	0	hero/xunyu.png	0		
1001023	黄巾枪兵	4	2	6	1	1	66	84	116	25	25	0	0	100	0	0	0	hero/zhugeliang.png	0		
1001024	黄巾枪兵	5	2	6	1	1	78	99	144	29	29	0	0	100	0	0	0	hero/zhouyu.png	0		
1001025	黄巾枪兵	6	2	6	1	1	92	115	178	33	33	0	0	100	0	0	0	hero/zhugedan.png	0		
1001026	黄巾枪兵	7	2	6	1	1	104	131	214	37	37	0	0	100	0	0	0	hero/luxun.png	0		
1001027	黄巾枪兵	8	2	6	1	1	117	147	256	43	43	0	0	100	0	0	0	hero/huanggai.png	0		
1001028	黄巾枪兵	9	2	6	1	1	130	164	296	47	47	0	0	100	0	0	0	hero/caopi.png	0		
1001029	黄巾枪兵	10	2	6	1	1	165	224	402	51	51	0	0	100	0	0	0	hero/dao.png	0		
1001030	黄巾谋士	1	4	6	1	1	31	35	42	14	14	0	0	100	0	0	0	hero/zhaoyun.png	0		
1001031	黄巾谋士	2	4	6	1	1	42	48	62	19	19	0	0	100	0	0	0	hero/jiangwei.png	0		
1001032	黄巾谋士	3	4	6	1	1	55	63	88	23	23	0	0	100	0	0	0	hero/dengai.png	0		
1001033	黄巾谋士	4	4	6	1	1	66	77	116	28	28	0	0	100	0	0	0	hero/lingtong.png	0		
1001034	黄巾谋士	5	4	6	1	1	78	90	144	33	33	0	0	100	0	0	0	hero/qiang.png	0		
1001035	黄巾谋士	6	4	6	1	1	92	105	178	37	37	0	0	100	0	0	0	hero/huaxiong.png	0		
1001036	黄巾谋士	7	4	6	1	1	104	119	214	43	43	0	0	100	0	0	0	hero/liubei.png	0		
1001037	黄巾谋士	8	4	6	1	1	117	134	256	47	47	0	0	100	0	0	0	hero/qi.png	0		
1001038	黄巾谋士	9	4	6	1	1	130	149	296	52	52	0	0	100	0	0	0	hero/xunyu.png	0		
1001039	黄巾谋士	10	4	6	1	1	165	203	402	57	57	0	0	100	0	0	0	hero/zhugeliang.png	0		
1001040	黄巾红颜	1	5	6	1	1	31	28	42	15	17	0	0	100	0	0	0	hero/diaochan.png	0		
1001041	黄巾红颜	2	5	6	1	1	42	39	62	20	24	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1001042	黄巾红颜	3	5	6	1	1	55	50	88	25	30	0	0	100	0	0	0	hero/huangyueying.png	0		
1001043	黄巾红颜	4	5	6	1	1	66	61	116	31	37	0	0	100	0	0	0	hero/hongyan.png	0		
1001044	黄巾红颜	5	5	6	1	1	78	72	144	36	43	0	0	100	0	0	0	hero/diaochan.png	0		
1001045	黄巾红颜	6	5	6	1	1	92	83	178	41	48	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1001046	黄巾红颜	7	5	6	1	1	104	95	214	47	54	0	0	100	0	0	0	hero/huangyueying.png	0		
1001047	黄巾红颜	8	5	6	1	1	117	107	256	51	60	0	0	100	0	0	0	hero/hongyan.png	0		
1001048	黄巾红颜	9	5	6	1	1	130	119	296	57	67	0	0	100	0	0	0	hero/diaochan.png	0		
1001049	黄巾红颜	10	5	6	1	1	165	162	402	62	73	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1002101	阎行	11	1	7	1	2	228	290	546	73	73	0	0	100	0	0	0	hero/qiang.png	0		
1002102	傅佥	11	2	7	1	2	243	290	546	73	73	0	0	100	0	0	0	hero/huaxiong.png	0		
1002103	袁熙	12	3	7	1	2	257	319	618	79	79	0	0	100	0	0	0	hero/liubei.png	0		
1002104	韩营子	12	4	7	1	2	273	319	618	79	79	0	0	100	0	0	0	hero/qi.png	0		
1002105	颜良	13	3	7	1	2	287	350	692	84	84	0	0	100	0	0	0	hero/yanliang.png	0		
1002106	牵招	13	2	7	1	2	303	350	692	84	84	0	0	100	0	0	0	hero/zhugeliang.png	0		
1002107	袁尚	14	1	7	1	2	317	380	772	90	90	0	0	100	0	0	0	hero/zhouyu.png	0		
1002108	马延	14	3	7	1	2	333	380	772	90	90	0	0	100	0	0	0	hero/zhugedan.png	0		
1002109	高览	15	1	7	1	2	348	411	852	95	95	0	0	100	0	0	0	hero/luxun.png	0		
1002110	文丑	15	3	7	1	2	363	411	852	95	95	0	0	100	0	0	0	hero/wenchou.png	0		
1002111	淳于琼	16	3	7	1	2	378	441	938	101	101	0	0	100	0	0	0	hero/caopi.png	0		
1002112	高干	16	3	7	1	2	393	441	938	101	101	0	0	100	0	0	0	hero/dao.png	0		
1002113	杜袭	17	1	7	1	2	408	473	1030	107	107	0	0	100	0	0	0	hero/zhaoyun.png	0		
1002114	高恒	17	2	7	1	2	424	473	1030	107	107	0	0	100	0	0	0	hero/jiangwei.png	0		
1002115	许攸	18	4	7	1	2	438	505	1126	112	112	0	0	100	0	0	0	hero/dengai.png	0		
1002116	樊摺	18	3	7	1	2	454	505	1126	112	112	0	0	100	0	0	0	hero/lingtong.png	0		
1002117	郭图	19	4	7	1	2	468	537	1222	118	118	0	0	100	0	0	0	hero/qiang.png	0		
1002118	逢纪	19	4	7	1	2	482	537	1222	118	118	0	0	100	0	0	0	hero/huaxiong.png	0		
1002119	袁谭	20	3	7	1	2	498	685	1732	124	124	0	0	100	0	0	0	hero/liubei.png	0		
1002120	袁绍	20	1	7	1	2	512	685	1732	124	124	0	0	100	0	0	0	hero/yuanshao.png	0		
1002000	冀州骑兵	11	3	7	1	2	190	241	456	61	61	0	0	100	0	0	0	hero/xunyu.png	0		
1002001	冀州骑兵	12	3	7	1	2	208	266	514	66	66	0	0	100	0	0	0	hero/zhugeliang.png	0		
1002002	冀州骑兵	13	3	7	1	2	228	292	578	71	71	0	0	100	0	0	0	hero/zhouyu.png	0		
1002003	冀州骑兵	14	3	7	1	2	247	317	642	75	75	0	0	100	0	0	0	hero/zhugedan.png	0		
1002004	冀州骑兵	15	3	7	1	2	265	343	710	80	80	0	0	100	0	0	0	hero/luxun.png	0		
1002005	冀州骑兵	16	3	7	1	2	285	368	784	84	84	0	0	100	0	0	0	hero/huanggai.png	0		
1002006	冀州骑兵	17	3	7	1	2	306	394	858	89	89	0	0	100	0	0	0	hero/caopi.png	0		
1002007	冀州骑兵	18	3	7	1	2	326	422	938	94	94	0	0	100	0	0	0	hero/dao.png	0		
1002008	冀州骑兵	19	3	7	1	2	347	448	1018	99	99	0	0	100	0	0	0	hero/zhaoyun.png	0		
1002009	冀州骑兵	20	3	7	1	2	428	571	1446	104	104	0	0	100	0	0	0	hero/jiangwei.png	0		
1002010	冀州步兵	11	1	7	1	2	190	193	456	79	67	0	0	100	0	0	0	hero/dengai.png	0		
1002011	冀州步兵	12	1	7	1	2	208	213	514	86	72	0	0	100	0	0	0	hero/lingtong.png	0		
1002012	冀州步兵	13	1	7	1	2	228	233	578	92	77	0	0	100	0	0	0	hero/qiang.png	0		
1002013	冀州步兵	14	1	7	1	2	247	253	642	97	82	0	0	100	0	0	0	hero/huaxiong.png	0		
1002014	冀州步兵	15	1	7	1	2	265	274	710	104	88	0	0	100	0	0	0	hero/liubei.png	0		
1002015	冀州步兵	16	1	7	1	2	285	295	784	110	93	0	0	100	0	0	0	hero/qi.png	0		
1002016	冀州步兵	17	1	7	1	2	306	315	858	116	99	0	0	100	0	0	0	hero/xunyu.png	0		
1002017	冀州步兵	18	1	7	1	2	326	337	938	122	103	0	0	100	0	0	0	hero/zhugeliang.png	0		
1002018	冀州步兵	19	1	7	1	2	347	358	1018	128	108	0	0	100	0	0	0	hero/zhouyu.png	0		
1002019	冀州步兵	20	1	7	1	2	428	457	1446	134	114	0	0	100	0	0	0	hero/zhugedan.png	0		
