编号	名字	品质	兵种	初始血量	血量成长	战斗力	初始攻击	攻击成长	初始防御	防御成长	初始法术防御	法术防御成长	初始格挡	初始刚毅	初始命中	初始破招	初始暴击	初始闪避	武将成长	武将素材	阵营(魏1、蜀2、吴3、群4)	分期(1、2、3)	获取方式（1招贤馆、2副本、3活动、4兑换）	一级神将素材	二级神将素材	1级神将开放距离开服天数	2级神将开放距离开服天数	合成碎片编号	合成所需数量	专属技能	描述
Id	Name	Quantity	Soldier	Health	HealthGrouth	FightForce	Attack	AttackGrouth	Defence	DefenceGrouth	MagicDefence	MagicDefenceGrouth	Block	Fortitude	Hit	Unblock	Critdamage	Miss	Grouth	Url	Camp	Period	ReceiveMode	GodUrl1	GodUrl2	OpenDays1	OpenDays2	MergeId	MergeNum	SpecialSkill	Desc
1	吕布	orange	3	320	100	228	660	80	83	10	83	10	0	0	0	0	0	0	55	hero/lvbu.png	4	1	1	soldier501		0				1005	
2	赵云	orange	2	320	100	228	644	78	91	11	91	11	0	0	0	0	0	0	55	hero/zhaoyun.png	2	1	4	soldier500	soldier1001	0	1			1001	
3	关羽	orange	3	320	100	228	413	50	206	25	206	25	0	0	0	0	0	0	55	hero/guanyu.png	2	1	3	soldier506		7				1006	
4	马超	orange	3	320	100	228	314	38	256	31	256	31	0	0	0	0	0	0	55	hero/machao.png	2	1	4								
5	张飞	orange	2	320	100	228	371	45	83	10	371	45	0	0	0	0	0	0	55	hero/zhangfei.png	2	1	1								
6	黄忠	orange	1	400	100	228	272	33	281	34	272	33	0	0	0	0	0	0	55	hero/huangzhong.png	2	1	1								
7	庞德	orange	3	320	100	228	371	45	380	46	74	9	0	0	0	0	0	0	55	hero/pangde.png	1	1	1								
8	太史慈	orange	2	320	100	228	223	27	454	55	149	18	0	0	0	0	0	0	55	hero/taishici.png	3	1	1								
9	张辽	orange	3	320	100	228	116	14	594	72	116	14	0	0	0	0	0	0	55	hero/zhangliao.png	1	1	1								
10	甘宁	orange	2	320	100	228	454	55	190	23	182	22	0	0	0	0	0	0	55	hero/ganning.png	3	1	1								
11	许褚	orange	1	400	100	228	99	12	627	76	99	12	0	0	0	0	0	0	55	hero/xuchu.png	1	1	4								
12	典韦	orange	1	400	100	228	462	56	182	22	182	22	0	0	0	0	0	0	55	hero/dianwei.png	1	1	1	soldier503		7				1004	
13	诸葛亮	orange	4	240	100	228	660	80	83	10	83	10	0	0	0	0	0	0	55	hero/zhugeliang.png	2	1	1	soldier502	soldier1010	0	1			1010	
14	郭嘉	orange	4	240	100	228	371	45	223	27	231	28	0	0	0	0	0	0	55	hero/guojia.png	1	1	4								
15	庞统	orange	4	240	100	228	380	46	66	8	380	46	0	0	0	0	0	0	55	hero/pangtong.png	2	1	1								
16	周瑜	orange	4	240	100	228	371	45	297	36	157	19	0	0	0	0	0	0	55	hero/zhouyu.png	3	1	1								
17	曹操	orange	1	400	100	228	363	44	231	28	231	28	0	0	0	0	0	0	55	hero/caocao.png	1	1	1								
18	司马懿	orange	4	240	100	228	380	46	66	8	380	46	0	0	0	0	0	0	55	hero/simayi.png	1	1	1								
23	貂蝉	orange	5	240	100	228	239	29	305	37	281	34	0	0	0	0	0	0	55	hero/diaochan.png	4	1	1	soldier508	soldier1008	0	1			1008	
24	小乔	orange	5	240	100	228	429	52	272	33	124	15	0	0	0	0	0	0	55	hero/xiaoqiao.png	3	1	1								
