等级	下一级经验	刀兵血量	枪兵血量	骑兵血量	谋士血量	红颜血量
Level	Xp	Soldier1	Soldier2	Soldier3	Soldier4	Soldier5
1	12	400	320	320	240	240
2	42	550	440	440	330	330
3	91	700	560	560	420	420
4	161	850	680	680	510	510
5	254	1000	800	800	600	600
6	373	1150	920	920	690	690
7	519	1300	1040	1040	780	780
8	698	1450	1160	1160	870	870
9	913	1600	1280	1280	960	960
10	1169	1825	1460	1460	1095	1095
11	1474	2050	1640	1640	1230	1230
12	1834	2275	1820	1820	1365	1365
13	2259	2500	2000	2000	1500	1500
14	2758	2725	2180	2180	1635	1635
15	3344	2950	2360	2360	1770	1770
16	4029	3175	2540	2540	1905	1905
17	4829	3400	2720	2720	2040	2040
18	5762	3625	2900	2900	2175	2175
19	6846	3850	3080	3080	2310	2310
20	8103	4150	3320	3320	2490	2490
21	9557	4450	3560	3560	2670	2670
22	13548	4750	3800	3800	2850	2850
23	15634	5050	4040	4040	3030	3030
24	20036	5350	4280	4280	3210	3210
25	28646	5650	4520	4520	3390	3390
26	33266	5950	4760	4760	3570	3570
27	38518	6250	5000	5000	3750	3750
28	44476	6550	5240	5240	3930	3930
29	51215	6850	5480	5480	4110	4110
30	64019	7225	5780	5780	4335	4335
31	80024	7600	6080	6080	4560	4560
32	100030	7975	6380	6380	4785	4785
33	125037	8350	6680	6680	5010	5010
34	156296	8725	6980	6980	5235	5235
35	195370	9100	7280	7280	5460	5460
36	253982	9475	7580	7580	5685	5685
37	330176	9850	7880	7880	5910	5910
38	429229	10225	8180	8180	6135	6135
39	515074	10600	8480	8480	6360	6360
40	618090	11050	8840	8840	6630	6630
41	741708	11500	9200	9200	6900	6900
42	890049	11950	9560	9560	7170	7170
43	1068059	12400	9920	9920	7440	7440
44	1238949	12850	10280	10280	7710	7710
45	1437180	13300	10640	10640	7980	7980
46	1624014	13750	11000	11000	8250	8250
47	1835135	14200	11360	11360	8520	8520
48	2055352	14650	11720	11720	8790	8790
49	2301994	15100	12080	12080	9060	9060
50	2946552	15625	12500	12500	9375	9375
51	3591110	16150	12920	12920	9690	9690
52	4271761	16675	13340	13340	10005	10005
53	4989005	17200	13760	13760	10320	10320
54	5743346	17725	14180	14180	10635	10635
55	6535284	18250	14600	14600	10950	10950
56	7365323	18775	15020	15020	11265	11265
57	8233964	19300	15440	15440	11580	11580
58	9141710	19825	15860	15860	11895	11895
59	10089062	20350	16280	16280	12210	12210
60	11076523	20950	16760	16760	12570	12570
61	13322266	21550	17240	17240	12930	12930
62	15692176	22150	17720	17720	13290	13290
63	18187866	22750	18200	18200	13650	13650
64	20810952	23350	18680	18680	14010	14010
65	23563047	23950	19160	19160	14370	14370
66	26445768	24550	19640	19640	14730	14730
67	29460729	25150	20120	20120	15090	15090
68	32609543	25750	20600	20600	15450	15450
69	35893827	26350	21080	21080	15810	15810
70	39178110	27025	21620	21620	16215	16215
71	42553934	27700	22160	22160	16620	16620
72	46021299	28375	22700	22700	17025	17025
73	49580205	29050	23240	23240	17430	17430
74	53230651	29725	23780	23780	17835	17835
75	56972638	30400	24320	24320	18240	18240
76	60806166	31075	24860	24860	18645	18645
77	64939334	31750	25400	25400	19050	19050
78	69170829	32425	25940	25940	19455	19455
79	73505574	33100	26480	26480	19860	19860
80	77938035	33850	27080	27080	20310	20310
81	82477139	34600	27680	27680	20760	20760
82	87129312	35350	28280	28280	21210	21210
83	91898400	36100	28880	28880	21660	21660
84	96780166	36850	29480	29480	22110	22110
85	101789389	37600	30080	30080	22560	22560
86	106919117	38350	30680	30680	23010	23010
87	112169155	39100	31280	31280	23460	23460
88	117539280	39850	31880	31880	23910	23910
89	123033453	40600	32480	32480	24360	24360
90	128645792	41425	33140	33140	24855	24855
91	134368848	42250	33800	33800	25350	25350
92	140219370	43075	34460	34460	25845	25845
93	146189888	43900	35120	35120	26340	26340
94	152275667	44725	35780	35780	26835	26835
95	158476243	45550	36440	36440	27330	27330
96	164807315	46375	37100	37100	27825	27825
97	171267091	47200	37760	37760	28320	28320
98	177852230	48025	38420	38420	28815	28815
99	184565309	48850	39080	39080	29310	29310
100	191407421	49750	39800	39800	29850	29850
101	198387261	50650	40520	40520	30430	30430
102	205513667	51550	41240	41240	31010	31010
103	212754064	52450	41960	41960	31590	31590
104	220137194	53350	42680	42680	32170	32170
105	227640890	54250	43400	43400	32750	32750
106	235280186	55150	44120	44120	33330	33330
107	243048288	56050	44840	44840	33910	33910
108	250965242	56950	45560	45560	34490	34490
109	259016307	57850	46280	46280	35070	35070
110	267207341	58750	47000	47000	35650	35650
111	275542669	59650	47720	47720	36230	36230
112	284023424	60550	48440	48440	36810	36810
113	292662186	61450	49160	49160	37390	37390
114	301450352	62350	49880	49880	37970	37970
115	310382458	63250	50600	50600	38550	38550
116	319462906	64150	51320	51320	39130	39130
117	329267101	65050	52040	52040	39710	39710
118	339795043	65950	52760	52760	40290	40290
119	351046733	66850	53480	53480	40870	40870
120	363022170	67750	54200	54200	41450	41450
