编号	一级标签	二级标签	一级编目	二级编目	三级编目	"货币类型(cash,gold,honor)"	购买价格	折扣	限购数量	距离开服天数	开放等级
Id	Lable1	Lable2	Category1	Category2	Category3	Currency	Price	Discount	Restrictions	OpenDays	OpenLevel
1	2	1	inventory	material	1	cash	1			0	0
2	2	1	inventory	material	7	cash	1			0	0
3	2	1	inventory	material	13	cash	1			0	0
4	2	1	inventory	material	2	cash	3			0	0
5	2	1	inventory	material	8	cash	3			0	0
6	2	1	inventory	material	14	cash	3			0	0
7	2	1	inventory	material	3	cash	10			0	0
8	2	1	inventory	material	9	cash	10			0	0
9	2	1	inventory	material	15	cash	10			0	0
10	2	1	inventory	material	4	cash	18			0	43
11	2	1	inventory	material	10	cash	18			0	43
12	2	1	inventory	material	16	cash	18			0	43
13	2	1	inventory	material	5	cash	25			0	47
14	2	1	inventory	material	11	cash	25			0	47
15	2	1	inventory	material	17	cash	25			0	47
16	2	1	inventory	material	6	cash	42			0	51
17	2	1	inventory	material	12	cash	42			0	51
18	2	1	inventory	material	18	cash	42			0	51
19	2	2	inventory	gem	102	cash	3			0	35
20	2	2	inventory	gem	202	cash	3			0	35
21	2	2	inventory	gem	302	cash	3			0	35
22	2	2	inventory	gem	402	cash	3			0	35
23	2	2	inventory	gem	502	cash	3			0	35
24	2	3	inventory	material	38	cash	1			0	0
25	2	3	inventory	material	39	cash	30			0	0
26	2	3	inventory	material	19	cash	2			0	0
27	2	3	inventory	material	20	cash	10			0	39
28	2	3	inventory	material	26	cash	18			0	30
29	2	3	inventory	material	21	cash	5			0	0
30	2	3	inventory	material	22	cash	9			0	30
31	2	3	inventory	material	23	cash	12			0	45
32	2	3	inventory	material	24	cash	18			0	60
33	2	3	inventory	material	25	cash	28			0	80
34	2	3	inventory	material	37	cash	100			0	0
35	4	1	equip	weapon	1	honor	100			0	0
36	4	1	equip	magic	1	honor	100			0	0
37	4	1	equip	armor	1	honor	100			0	0
38	4	1	equip	accessory	1	honor	100			0	0
39	4	2	inventory	material	1	honor	100			0	0
40	4	2	inventory	material	7	honor	100			0	0
41	4	2	inventory	material	13	honor	100			0	0
42	4	2	inventory	material	2	honor	300			0	0
43	4	2	inventory	material	8	honor	300			0	0
44	4	2	inventory	material	14	honor	300			0	0
45	4	2	inventory	material	3	honor	1000			0	0
46	4	2	inventory	material	9	honor	1000			0	0
47	4	2	inventory	material	15	honor	1000			0	0
48	4	2	inventory	material	4	honor	2000			0	43
49	4	2	inventory	material	10	honor	2000			0	43
50	4	2	inventory	material	16	honor	2000			0	43
51	4	2	inventory	material	5	honor	3000			0	47
52	4	2	inventory	material	11	honor	3000			0	47
53	4	2	inventory	material	17	honor	3000			0	47
54	4	2	inventory	material	6	honor	5000			0	51
55	4	2	inventory	material	12	honor	5000			0	51
56	4	2	inventory	material	18	honor	5000			0	51
57	4	4	inventory	material	19	honor	200			0	0
58	4	4	inventory	material	26	honor	2500			0	30
59	4	4	inventory	material	37	honor	20000			0	0
60	4	2	inventory	material	41	honor	8000			0	55
61	2	1	inventory	material	41	cash	45			0	55
62	2	2	inventory	gem	105	cash	70			10	35
63	2	2	inventory	gem	205	cash	70			10	35
64	2	2	inventory	gem	305	cash	70			10	35
65	2	2	inventory	gem	405	cash	70			10	35
66	2	2	inventory	gem	505	cash	70			10	35
67	2	3	inventory	material	48	cash	8			0	30
68	2	3	inventory	material	46	cash	26			0	0
69	2	3	inventory	material	78	cash	98			0	60
70	2	1	inventory	material	177	cash	75			0	67
71	4	2	inventory	material	177	honor	15000			0	67
72	2	3	inventory	material	173	cash	40			0	80
