兵种	技能	技能战斗力系数	升级需要英雄等级	升级需要的资源	技能素材	技能名称	替换技能	升级2资源	升级3资源	升级4资源	升级5资源	升级6资源	升级7资源	升级8资源	升级9资源	升级10资源	技能动作
Soldier	Skill	FightForceFactor	RoleLevel	Material	SkillUrl	SkillName	ReplaceSkill	MaterialNum2	MaterialNum3	MaterialNum4	MaterialNum5	MaterialNum6	MaterialNum7	MaterialNum8	MaterialNum9	MaterialNum10	SkillAction
1	1	13	1	19	skill/skill1.png	烈焰斩	0	6	12	20	30	42	56	72	90	110	attack
1	2	16	15	19	skill/skill2.png	绝对防御	0	9	17	27	39	53	69	87	107	129	
1	3	20	25	19	skill/skill3.png	天怒碎龙斩	0	13	23	35	49	65	83	103	125	149	skill3
1	4	23	35	19	skill/skill4.png	永恒壁垒	0	19	31	45	61	79	99	121	145	171	
1	5	28	45	19	skill/skill5.png	逆转锋芒	0	29	43	59	77	97	119	143	169	197	skill3
2	1	13	1	19	skill/skill6.png	银火流星杀	0	6	12	20	30	42	56	72	90	110	skill1
2	2	16	15	19	skill/skill7.png	双刃尖锋	0	9	17	27	39	53	69	87	107	129	
2	3	20	25	19	skill/skill8.png	横扫千军	0	13	23	35	49	65	83	103	125	149	skill3
2	4	23	35	19	skill/skill9.png	追命之魂	0	19	31	45	61	79	99	121	145	171	
2	5	28	45	19	skill/skill10.png	八绝神龙	0	29	43	59	77	97	119	143	169	197	attack
3	1	13	1	19	skill/skill11.png	疾风斩	0	6	12	20	30	42	56	72	90	110	attack
3	2	16	15	19	skill/skill12.png	血战术	0	9	17	27	39	53	69	87	107	129	
3	3	20	25	19	skill/skill13.png	狂野践踏	0	13	23	35	49	65	83	103	125	149	attack
3	4	23	35	19	skill/skill14.png	天赐良驹	0	19	31	45	61	79	99	121	145	171	
3	5	28	45	19	skill/skill15.png	葬日神弓	0	29	43	59	77	97	119	143	169	197	skill5
4	1	13	1	19	skill/skill16.png	天雷暴	0	6	12	20	30	42	56	72	90	110	attack
4	2	16	15	19	skill/skill17.png	运筹帷幄	0	9	17	27	39	53	69	87	107	129	
4	3	20	25	19	skill/skill18.png	半步定江山	0	13	23	35	49	65	83	103	125	149	attack
4	4	23	35	19	skill/skill19.png	冥思	0	19	31	45	61	79	99	121	145	171	
4	5	28	45	19	skill/skill20.png	乐不思蜀	0	29	43	59	77	97	119	143	169	197	attack
5	1	13	1	19	skill/skill21.png	莺歌燕舞	0	6	12	20	30	42	56	72	90	110	skill1
5	2	16	15	19	skill/skill22.png	绝代佳人	0	9	17	27	39	53	69	87	107	129	
5	3	20	25	19	skill/skill23.png	天女散花	0	13	23	35	49	65	83	103	125	149	skill1
5	4	23	35	19	skill/skill24.png	玉洁冰清	0	19	31	45	61	79	99	121	145	171	
5	5	28	45	19	skill/skill25.png	美人计	0	29	43	59	77	97	119	143	169	197	skill1
god	1001	30	55	19	skill/skill1001.png	绝世无双	3	51	79	114	157	209	271	344	429	527	
god	1002	30	55	19	skill/skill1002.png	狂龙绝杀	5	51	79	114	157	209	271	344	429	527	
god	1003	30	55	19	skill/skill1003.png	不灭金甲	0	51	79	114	157	209	271	344	429	527	
god	1004	30	55	19	skill/skill1004.png	四海无谋	0	51	79	114	157	209	271	344	429	527	
god	1005	30	55	19	skill/skill1005.png	天下无敌	0	51	79	114	157	209	271	344	429	527	
god	1006	30	55	19	skill/skill1006.png	忠义无双	0	51	79	114	157	209	271	344	429	527	
god	1007	30	55	19	skill/skill1007.png	天女下凡	0	51	79	114	157	209	271	344	429	527	
god	1008	30	55	19	skill/skill1008.png	国色天香	0	51	79	114	157	209	271	344	429	527	
god	1009	30	55	19	skill/skill1009.png	五雷轰顶	3	51	79	114	157	209	271	344	429	527	
god	1010	30	55	19	skill/skill1010.png	呼风唤雨	3	51	79	114	157	209	271	344	429	527	
