兵种(刀，枪，骑，谋士，红颜)	技能	类型(1:主动，2：被动)	技能等级	技能效果	技能效果参数	技能目标	效果描述	效果持续回合	技能伤害系数	升级Tips
Soldier	Skill	Type	Level	Effect	Param	IsSelf	Desc	Round	Damage	Tips
1	1	1	1	rehurt	6	0	 火焰附着全身，反弹来自目标6%的伤害，持续2回合	2	130	反弹来自目标的伤害提高至8%
1	1	1	2	rehurt	8	0	 火焰附着全身，反弹来自目标8%的伤害，持续2回合	2	135	反弹来自目标的伤害提高至10%
1	1	1	3	rehurt	10	0	 火焰附着全身，反弹来自目标10%的伤害，持续2回合	2	140	反弹来自目标的伤害提高至12%
1	1	1	4	rehurt	12	0	 火焰附着全身，反弹来自目标12%的伤害，持续2回合	2	145	反弹来自目标的伤害提高至14%
1	1	1	5	rehurt	14	0	 火焰附着全身，反弹来自目标14%的伤害，持续2回合	2	150	反弹来自目标的伤害提高至16%
1	1	1	6	rehurt	16	0	 火焰附着全身，反弹来自目标16%的伤害，持续2回合	2	155	反弹来自目标的伤害提高至18%
1	1	1	7	rehurt	18	0	 火焰附着全身，反弹来自目标18%的伤害，持续2回合	2	160	反弹来自目标的伤害提高至20%
1	1	1	8	rehurt	20	0	 火焰附着全身，反弹来自目标20%的伤害，持续2回合	2	165	反弹来自目标的伤害提高至22%
1	1	1	9	rehurt	22	0	 火焰附着全身，反弹来自目标22%的伤害，持续2回合	2	170	反弹来自目标的伤害提高至25%
1	1	1	10	rehurt	25	0	 火焰附着全身，反弹来自目标25%的伤害，持续2回合	2	175	已升到最高级
1	2	2	1	fortitude	100	0	永久提高100点刚毅，提高刚毅可降低自身被暴击的概率			永久提高200点刚毅，提高刚毅可降低自身被暴击的概率
1	2	2	2	fortitude	200	0	永久提高200点刚毅，提高刚毅可降低自身被暴击的概率			永久提高300点刚毅，提高刚毅可降低自身被暴击的概率
1	2	2	3	fortitude	300	0	永久提高300点刚毅，提高刚毅可降低自身被暴击的概率			永久提高400点刚毅，提高刚毅可降低自身被暴击的概率
1	2	2	4	fortitude	400	0	永久提高400点刚毅，提高刚毅可降低自身被暴击的概率			永久提高500点刚毅，提高刚毅可降低自身被暴击的概率
1	2	2	5	fortitude	500	0	永久提高500点刚毅，提高刚毅可降低自身被暴击的概率			永久提高600点刚毅，提高刚毅可降低自身被暴击的概率
1	2	2	6	fortitude	600	0	永久提高600点刚毅，提高刚毅可降低自身被暴击的概率			永久提高700点刚毅，提高刚毅可降低自身被暴击的概率
1	2	2	7	fortitude	700	0	永久提高700点刚毅，提高刚毅可降低自身被暴击的概率			永久提高800点刚毅，提高刚毅可降低自身被暴击的概率
