强化等级	玩家等级需求	强化武器银两花费	强化铠甲银两花费	强化饰品银两花费
Strength	Level	WeaponCost	ArmorCost	AccessoryCost
1	1	100	100	100
2	2	112	112	112
3	3	125	125	125
4	4	140	140	140
5	5	157	157	157
6	6	176	176	176
7	7	197	197	197
8	8	221	221	221
9	9	248	248	248
10	10	277	277	277
11	11	311	311	311
12	12	348	348	348
13	13	390	390	390
14	14	436	436	436
15	15	489	489	489
16	16	547	547	547
17	17	613	613	613
18	18	687	687	687
19	19	769	769	769
20	20	861	861	861
21	21	965	965	965
22	22	1080	1080	1080
23	23	1210	1210	1210
24	24	1355	1355	1355
25	25	1518	1518	1518
26	26	1700	1700	1700
27	27	1904	1904	1904
28	28	2132	2132	2132
29	29	2388	2388	2388
30	30	2675	2675	2675
31	31	2996	2996	2996
32	32	3356	3356	3356
33	33	3758	3758	3758
34	34	4209	4209	4209
35	35	4714	4714	4714
36	36	7464	7464	7464
37	37	12480	12480	12480
38	38	17767	17767	17767
39	39	23335	23335	23335
40	40	29189	29189	29189
41	41	35337	35337	35337
42	42	41787	41787	41787
43	43	48544	48544	48544
44	44	55618	55618	55618
45	45	63014	63014	63014
46	46	70740	70740	70740
47	47	78804	78804	78804
48	48	87211	87211	87211
49	49	95971	95971	95971
50	50	105089	105089	105089
51	51	114573	114573	114573
52	52	124431	124431	124431
53	53	134668	134668	134668
54	54	145294	145294	145294
55	55	156314	156314	156314
56	56	167736	167736	167736
57	57	179568	179568	179568
58	58	191815	191815	191815
59	59	204487	204487	204487
60	60	217589	217589	217589
61	61	231129	231129	231129
62	62	245115	245115	245115
63	63	259552	259552	259552
64	64	274450	274450	274450
65	65	289814	289814	289814
66	66	305652	305652	305652
67	67	321972	321972	321972
68	68	338779	338779	338779
69	69	356083	356083	356083
70	70	373889	373889	373889
71	71	392205	392205	392205
72	72	411039	411039	411039
73	73	430396	430396	430396
74	74	450286	450286	450286
75	75	470714	470714	470714
76	76	491306	491306	491306
77	77	550262	550262	550262
78	78	616294	616294	616294
79	79	690249	690249	690249
80	80	773079	773079	773079
81	81	865848	865848	865848
82	82	969750	969750	969750
83	83	1086120	1086120	1086120
84	84	1216455	1216455	1216455
85	85	1362429	1362429	1362429
86	86	1525921	1525921	1525921
87	87	1709031	1709031	1709031
88	88	1914115	1914115	1914115
89	89	2143809	2143809	2143809
90	90	2401066	2401066	2401066
91	91	2689193	2689193	2689193
92	92	3011897	3011897	3011897
93	93	3373324	3373324	3373324
94	94	3778123	3778123	3778123
95	95	4231498	4231498	4231498
96	96	4739278	4739278	4739278
97	97	5307991	5307991	5307991
98	98	5944950	5944950	5944950
99	99	6658344	6658344	6658344
100	100	7457345	7457345	7457345
101	101	8352227	8352227	8352227
102	102	9354494	9354494	9354494
103	103	10477033	10477033	10477033
104	104	11734277	11734277	11734277
105	105	13142390	13142390	13142390
106	106	14719477	14719477	14719477
107	107	16485814	16485814	16485814
108	108	18464112	18464112	18464112
109	109	20679805	20679805	20679805
110	110	23161382	23161382	23161382
111	111	25940748	25940748	25940748
112	112	29053638	29053638	29053638
113	113	32540074	32540074	32540074
114	114	36444883	36444883	36444883
115	115	40818269	40818269	40818269
116	116	45716461	45716461	45716461
117	117	51202437	51202437	51202437
118	118	57346729	57346729	57346729
119	119	64228337	64228337	64228337
120	120	71935737	71935737	71935737
