编号	标题	任务类型1	前往等级限制	任务参数1	任务目标1	任务类型2	任务参数2	任务目标2	任务名称1	任务名称2	任务奖励经验	任务奖励金币	任务道具奖励	任务描述
Id	Title	TaskType1	Level	TaskArg1	TaskTarget1	TaskType2	TaskArg2	TaskTarget2	TaskName1	TaskName2	Xp	Gold	Award1	Desc
1	穿戴装备	WearEquip	1	all	1				给刘乐乐穿戴1次装备 		12	1000		<font FACE='YHFont'>点击<font color='#00ff00'>“武将”</font>按钮进入<font color='#00ff00'>“装备”</font>界面，点击<font color='#00ff00'>“一键装备”</font>进行穿戴装备。</font>
2	征收钱粮	HarvestGold	2	all	1	HarvestFood	all	1	收获1次金币 	收获1次粮食 	30	1100		<font FACE='YHFont'>点击<font color='#00ff00'>“主城”</font>和<font color='#00ff00'>“磨坊”</font>建筑进行收获金币和粮食。</font>
3	征讨裴元绍	WinPVE	3	1	1				击败1次裴元绍  		49	1200		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“曲阳”</font>与裴元绍进行战斗并获得胜利。</font>
4	招募武将	EnrollRole	4	all	1				招募1名武将		21	1300		<font FACE='YHFont'>点击<font color='#00ff00'>“招贤馆”</font>建筑，招募一名武将。</font>
5	排兵布阵	ArrangeTeam	4	all	1				新上阵一名武将		20	1400		<font FACE='YHFont'>点击<font color='#00ff00'>“布阵”</font>按钮进行布阵。</font>
6	征讨邓茂	WinPVE		2	1				击败1次邓茂		26	1500		<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“曲阳”</font>与邓茂进行战斗并获得胜利。</font>
7	强化装备	StrengthEquip	5	all	1				强化1次装备		93	1600		<font FACE='YHFont'>点击<font color='#00ff00'>“铁匠铺”</font>建筑，进入<font color='#00ff00'>“强化”</font>界面进行1次强化。</font>
8	征讨周仓	WinPVE		5	1				击败周仓，通关曲阳		31	1700	equip.armor.1:1	<font FACE='YHFont'>点击<font color='#00ff00'>“征战”</font>出城，在<font color='#00ff00'>“曲阳”</font>与周仓进行战斗并获得胜利。</font>
9	全副武装	WearEquip		all	1				给任意武将穿戴1次装备		35	1800		<font FACE='YHFont'>点击<font color='#00ff00'>“武将”</font>按钮，在<font color='#00ff00'>“信息”</font>界面给任意武将穿戴一次装备。</font>
