强化等级	紫色1级	紫色2级	紫色3级	紫色4级	紫色5级	紫色6级	紫色7级	紫色8级	紫色9级	紫色10级	紫色11级	紫色12级	紫色13级	紫色14级	紫色15级	紫色16级
Strength	Purple1	Purple2	Purple3	Purple4	Purple5	Purple6	Purple7	Purple8	Purple9	Purple10	Purple11	Purple12	Purple13	Purple14	Purple15	Purple16
1	50	80	130	180	240	320	390	480	570	670	780	890	1000	1130	1250	1390
2	66	98	150	202	265	348	422	515	608	711	824	938	1052	1186	1310	1454
3	82	116	170	224	290	376	454	550	646	752	868	986	1104	1242	1370	1518
4	98	134	190	246	315	404	486	585	684	793	912	1034	1156	1298	1430	1582
5	114	152	210	268	340	432	518	620	722	834	956	1082	1208	1354	1490	1646
6	130	170	230	290	365	460	550	655	760	875	1000	1130	1260	1410	1550	1710
7	146	188	250	312	390	488	582	690	798	916	1044	1178	1312	1466	1610	1774
8	162	206	270	334	415	516	614	725	836	957	1088	1226	1364	1522	1670	1838
9	178	224	290	356	440	544	646	760	874	998	1132	1274	1416	1578	1730	1902
10	194	242	310	378	465	572	678	795	912	1039	1176	1322	1468	1634	1790	1966
11	210	260	330	400	490	600	710	830	950	1080	1220	1370	1520	1690	1850	2030
12	226	278	350	422	515	628	742	865	988	1121	1264	1418	1572	1746	1910	2094
13	242	296	370	444	540	656	774	900	1026	1162	1308	1466	1624	1802	1970	2158
14	258	314	390	466	565	684	806	935	1064	1203	1352	1514	1676	1858	2030	2222
15	274	332	410	488	590	712	838	970	1102	1244	1396	1562	1728	1914	2090	2286
16	290	350	430	510	615	740	870	1005	1140	1285	1440	1610	1780	1970	2150	2350
17	306	368	450	532	640	768	902	1040	1178	1326	1484	1658	1832	2026	2210	2414
18	322	386	470	554	665	796	934	1075	1216	1367	1528	1706	1884	2082	2270	2478
19	338	404	490	576	690	824	966	1110	1254	1408	1572	1754	1936	2138	2330	2542
20	354	422	510	598	715	852	998	1145	1292	1449	1616	1802	1988	2194	2390	2606
21	370	440	530	620	740	880	1030	1180	1330	1490	1660	1850	2040	2250	2450	2670
22	386	458	550	642	765	908	1062	1215	1368	1531	1704	1898	2092	2306	2510	2734
23	402	476	570	664	790	936	1094	1250	1406	1572	1748	1946	2144	2362	2570	2798
24	418	494	590	686	815	964	1126	1285	1444	1613	1792	1994	2196	2418	2630	2862
25	434	512	610	708	840	992	1158	1320	1482	1654	1836	2042	2248	2474	2690	2926
26	450	530	630	730	865	1020	1190	1355	1520	1695	1880	2090	2300	2530	2750	2990
27	466	548	650	752	890	1048	1222	1390	1558	1736	1924	2138	2352	2586	2810	3054
28	482	566	670	774	915	1076	1254	1425	1596	1777	1968	2186	2404	2642	2870	3118
29	498	584	690	796	940	1104	1286	1460	1634	1818	2012	2234	2456	2698	2930	3182
30	514	602	710	818	965	1132	1318	1495	1672	1859	2056	2282	2508	2754	2990	3246
31	530	620	730	840	990	1160	1350	1530	1710	1900	2100	2330	2560	2810	3050	3310
32	546	638	750	862	1015	1188	1382	1565	1748	1941	2144	2378	2612	2866	3110	3374
33	562	656	770	884	1040	1216	1414	1600	1786	1982	2188	2426	2664	2922	3170	3438
34	578	674	790	906	1065	1244	1446	1635	1824	2023	2232	2474	2716	2978	3230	3502
35	594	692	810	928	1090	1272	1478	1670	1862	2064	2276	2522	2768	3034	3290	3566
36	610	710	830	950	1115	1300	1510	1705	1900	2105	2320	2570	2820	3090	3350	3630
37	626	728	850	972	1140	1328	1542	1740	1938	2146	2364	2618	2872	3146	3410	3694
38	642	746	870	994	1165	1356	1574	1775	1976	2187	2408	2666	2924	3202	3470	3758
39	658	764	890	1016	1190	1384	1606	1810	2014	2228	2452	2714	2976	3258	3530	3822
40	674	782	910	1038	1215	1412	1638	1845	2052	2269	2496	2762	3028	3314	3590	3886
41	690	800	930	1060	1240	1440	1670	1880	2090	2310	2540	2810	3080	3370	3650	3950
42	706	818	950	1082	1265	1468	1702	1915	2128	2351	2584	2858	3132	3426	3710	4014
43	722	836	970	1104	1290	1496	1734	1950	2166	2392	2628	2906	3184	3482	3770	4078
44	738	854	990	1126	1315	1524	1766	1985	2204	2433	2672	2954	3236	3538	3830	4142
45	754	872	1010	1148	1340	1552	1798	2020	2242	2474	2716	3002	3288	3594	3890	4206
46	777	898	1040	1182	1380	1599	1852	2081	2309	2548	2797	3092	3387	3702	4007	4332
47	800	925	1071	1217	1421	1647	1908	2143	2378	2624	2881	3185	3489	3813	4127	4462
